Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(mmHg)
19/10/2023 10:05:41,"1111","21.1","40","759"
19/10/2023 10:07:41,"1091","21.1","40","759"
19/10/2023 10:09:41,"1079","21.2","40","759"
19/10/2023 10:11:41,"1108","21.3","40","759"
19/10/2023 10:13:41,"1170","21.3","40","759"
19/10/2023 10:15:41,"1164","21.4","40","759"
19/10/2023 10:17:41,"1102","21.4","39","759"
19/10/2023 10:19:41,"1024","21.4","39","759"
19/10/2023 10:21:41,"1036","21.4","39","759"
19/10/2023 10:23:41,"1047","21.5","39","759"
19/10/2023 10:25:41,"1051","21.5","39","759"
19/10/2023 10:27:41,"1000","21.5","39","759"
19/10/2023 10:29:41,"1074","21.5","39","759"
19/10/2023 10:31:41,"1087","21.6","39","759"
19/10/2023 10:33:41,"1078","21.6","39","759"
19/10/2023 10:35:41,"1140","21.6","39","759"
19/10/2023 10:37:41,"1100","21.6","39","759"
19/10/2023 10:39:41,"1023","21.7","39","759"
19/10/2023 10:41:41,"1000","21.6","38","759"
19/10/2023 10:43:41,"1034","21.7","38","759"
19/10/2023 10:45:41,"977","21.6","37","759"
19/10/2023 10:47:41,"982","21.5","38","759"
19/10/2023 10:49:41,"879","21.4","36","759"
19/10/2023 10:51:41,"1051","21.4","38","759"
19/10/2023 10:53:41,"1185","21.4","39","759"
19/10/2023 10:55:41,"1167","21.5","39","759"
19/10/2023 10:57:41,"1348","21.6","39","759"
19/10/2023 10:59:41,"1199","21.7","39","759"
19/10/2023 11:01:41,"1172","21.7","39","759"
19/10/2023 11:03:41,"1195","21.8","39","759"
19/10/2023 11:05:41,"1135","21.8","38","759"
19/10/2023 11:07:41,"1080","21.9","38","759"
19/10/2023 11:09:41,"1025","21.9","38","759"
19/10/2023 11:11:41,"1038","22.0","38","759"
19/10/2023 11:13:41,"1066","22.0","38","759"
19/10/2023 11:15:41,"1020","22.0","38","759"
19/10/2023 11:17:41,"1135","22.1","38","759"
19/10/2023 11:19:41,"1055","22.1","38","759"
19/10/2023 11:21:41,"1003","22.1","38","759"
19/10/2023 11:23:41,"988","22.1","38","759"
19/10/2023 11:25:41,"1135","22.2","38","759"
19/10/2023 11:27:41,"1034","22.2","37","759"
19/10/2023 11:29:41,"1130","22.3","38","759"
19/10/2023 11:31:41,"928","22.2","35","759"
19/10/2023 11:33:41,"898","22.1","36","759"
19/10/2023 11:35:41,"877","21.8","36","759"
19/10/2023 11:37:41,"897","21.6","37","759"
19/10/2023 11:39:41,"948","21.5","37","759"
19/10/2023 11:41:41,"1015","21.4","37","759"
19/10/2023 11:43:41,"1042","21.4","37","759"
19/10/2023 11:45:41,"908","21.2","37","759"
19/10/2023 11:47:41,"858","21.1","37","759"
19/10/2023 11:49:41,"833","20.9","37","759"
19/10/2023 11:51:41,"787","20.8","37","759"
19/10/2023 11:53:41,"750","20.7","37","759"
19/10/2023 11:55:41,"737","20.6","38","759"
19/10/2023 11:57:41,"703","20.5","38","759"
19/10/2023 11:59:41,"692","20.4","38","759"
19/10/2023 12:01:41,"654","20.4","38","759"
19/10/2023 12:03:41,"642","20.3","38","759"
19/10/2023 12:05:41,"603","20.2","38","759"
19/10/2023 12:07:41,"639","20.2","38","759"
19/10/2023 12:09:41,"667","20.2","40","759"
19/10/2023 12:11:41,"759","20.4","37","759"
19/10/2023 12:13:41,"700","20.6","36","759"
19/10/2023 12:15:41,"766","20.8","36","759"
19/10/2023 12:17:41,"691","20.9","36","759"
19/10/2023 12:19:41,"653","21.0","35","759"
19/10/2023 12:21:41,"672","21.0","35","759"
19/10/2023 12:23:41,"783","21.1","35","759"
19/10/2023 12:25:41,"777","21.2","36","759"
19/10/2023 12:27:41,"727","21.3","36","759"
19/10/2023 12:29:41,"796","21.4","36","759"
19/10/2023 12:31:41,"855","21.5","37","759"
19/10/2023 12:33:41,"866","21.6","37","759"
19/10/2023 12:35:41,"917","21.6","38","759"
19/10/2023 12:37:41,"887","21.8","38","759"
19/10/2023 12:39:41,"897","21.9","37","759"
19/10/2023 12:41:41,"908","21.9","37","759"
19/10/2023 12:43:41,"915","22.0","38","759"
19/10/2023 12:45:41,"905","22.0","38","759"
19/10/2023 12:47:41,"952","22.1","38","759"
19/10/2023 12:49:41,"957","22.1","38","759"
19/10/2023 12:51:41,"952","22.2","38","759"
19/10/2023 12:53:41,"963","22.2","38","759"
19/10/2023 12:55:41,"953","22.2","38","759"
19/10/2023 12:57:41,"995","22.3","38","759"
19/10/2023 12:59:41,"984","22.3","38","759"
19/10/2023 13:01:41,"1018","22.4","37","759"
19/10/2023 13:03:41,"996","22.4","37","759"
19/10/2023 13:05:41,"1013","22.4","37","759"
19/10/2023 13:07:41,"976","22.5","37","759"
19/10/2023 13:09:41,"941","22.6","37","759"
19/10/2023 13:11:41,"1081","22.7","37","759"
19/10/2023 13:13:41,"1040","22.7","35","759"
19/10/2023 13:15:41,"1086","22.4","36","759"
19/10/2023 13:17:41,"992","22.3","35","759"
19/10/2023 13:19:41,"1010","22.2","36","759"
19/10/2023 13:21:41,"864","22.1","34","759"
19/10/2023 13:23:41,"997","22.1","36","759"
19/10/2023 13:25:41,"1086","22.2","37","759"
19/10/2023 13:27:41,"1152","22.3","37","759"
19/10/2023 13:29:41,"1404","22.4","38","759"
19/10/2023 13:31:41,"1302","22.4","38","759"
19/10/2023 13:33:41,"1043","22.4","36","759"
19/10/2023 13:35:41,"1078","22.3","36","759"
19/10/2023 13:37:41,"1054","22.3","36","759"
19/10/2023 13:39:41,"1086","22.2","36","759"
19/10/2023 13:41:41,"1062","22.1","36","759"
19/10/2023 13:43:41,"1108","22.1","36","759"
19/10/2023 13:45:41,"1091","22.1","36","759"
19/10/2023 13:47:41,"1089","22.1","36","759"
19/10/2023 13:49:41,"1108","22.0","36","759"
19/10/2023 13:51:41,"1153","22.1","36","759"
19/10/2023 13:53:41,"1105","22.1","36","759"
19/10/2023 13:55:41,"1117","22.0","36","759"
19/10/2023 13:57:41,"1118","22.1","35","759"
19/10/2023 13:59:41,"1096","22.0","35","759"
19/10/2023 14:01:41,"1178","21.9","36","759"
19/10/2023 14:03:41,"940","21.8","35","759"
19/10/2023 14:05:41,"845","21.6","36","759"
19/10/2023 14:07:41,"768","21.4","36","759"
19/10/2023 14:09:41,"701","21.2","36","759"
19/10/2023 14:11:41,"675","21.0","36","759"
19/10/2023 14:13:41,"637","20.8","36","759"
19/10/2023 14:15:41,"628","20.7","36","758"
19/10/2023 14:17:41,"615","20.6","37","759"
19/10/2023 14:19:41,"594","20.5","37","758"
19/10/2023 14:21:41,"598","20.5","37","759"
19/10/2023 14:23:41,"574","20.4","37","758"
19/10/2023 14:25:41,"588","20.4","37","759"
19/10/2023 14:27:41,"575","20.3","37","759"
19/10/2023 14:29:41,"566","20.2","37","759"
19/10/2023 14:31:41,"561","20.2","37","759"
19/10/2023 14:33:41,"558","20.2","37","759"
19/10/2023 14:35:41,"535","20.2","37","758"
19/10/2023 14:37:41,"536","20.1","37","758"
19/10/2023 14:39:41,"544","20.1","37","758"
19/10/2023 14:41:41,"534","20.1","37","758"
19/10/2023 14:43:41,"533","20.0","37","758"
19/10/2023 14:45:41,"526","20.0","37","758"
19/10/2023 14:47:41,"582","20.1","37","758"
19/10/2023 14:49:41,"808","20.2","39","758"
19/10/2023 14:51:41,"991","20.8","39","759"
